Date,Team,Player,Acquired,Relinquished,Notes,EstimatedDaysOut
2023-02-13,Hawks,• John Collins ,,• John Collins ,placed on IL with left hip flexor injury,
2023-02-15,Hawks,• John Collins ,• John Collins ,,activated from IL,2.0
2023-02-23,Hawks,• John Collins ,,• John Collins ,placed on IL with concussion protocols,
2023-02-26,Hawks,• John Collins ,• John Collins ,,activated from IL,3.0
2023-04-08,Hawks,• John Collins ,,• John Collins ,placed on IL with back injury,
2023-04-11,Hawks,• John Collins ,• John Collins ,,activated from IL,3.0
2023-12-11,Jazz,• John Collins ,,• John Collins ,placed on IL with illness,
2023-12-18,Jazz,• John Collins ,• John Collins ,,activated from IL,7.0
2024-03-21,Jazz,• John Collins ,,• John Collins ,placed on IL with facial injury,
2024-03-23,Jazz,• John Collins ,• John Collins ,,activated from IL,2.0
2024-03-31,Jazz,• John Collins ,,• John Collins ,placed on IL with back spasms (out for season),
2024-11-27,Jazz,• John Collins ,,• John Collins ,placed on IL with bruised left knee,
2024-11-29,Jazz,• John Collins ,• John Collins ,,activated from IL,2.0
2024-12-23,Jazz,• John Collins ,,• John Collins ,placed on IL with bruised right hip,
2025-01-04,Jazz,• John Collins ,• John Collins ,,activated from IL,12.0
2025-01-08,Jazz,• John Collins ,,• John Collins ,placed on IL with left hip injury,
2025-01-22,Jazz,• John Collins ,• John Collins ,,activated from IL,14.0
2025-01-24,Jazz,• John Collins ,,• John Collins ,placed on IL with illness,
2025-01-30,Jazz,• John Collins ,• John Collins ,,activated from IL,6.0
2025-02-22,Jazz,• John Collins ,,• John Collins ,placed on IL with back injury,
2025-02-28,Jazz,• John Collins ,• John Collins ,,activated from IL,6.0
2025-03-01,Jazz,• John Collins ,,• John Collins ,placed on IL with back injury,
2025-03-10,Jazz,• John Collins ,• John Collins ,,activated from IL,9.0
2025-03-13,Jazz,• John Collins ,,• John Collins ,sprained left ankle (out indefinitely),
2015-10-30,Bucks,• John Henson,,• John Henson,sore left Achilles (DTD),
2015-11-04,Bucks,• John Henson,,• John Henson,placed on IL with sore left Achilles,
2015-11-06,Bucks,• John Henson,• John Henson,,activated from IL,2.0
2015-12-28,Bucks,• John Henson,,• John Henson,elbow injury (DTD),
2015-12-29,Bucks,• John Henson,• John Henson,,returned to lineup,1.0
2016-01-28,Bucks,• John Henson,,• John Henson,sore lower back (DTD),
2016-03-15,Bucks,• John Henson,• John Henson,,returned to lineup,47.0
2017-03-22,Bucks,• John Henson,,• John Henson,sprained left thumb (DTD),
2017-03-31,Bucks,• John Henson,,• John Henson,placed on IL with sprained left thumb,
2017-04-10,Bucks,• John Henson,• John Henson,,activated from IL,10.0
2017-11-21,Bucks,• John Henson,,• John Henson,eye injury (DTD),
2017-11-22,Bucks,• John Henson,,• John Henson,placed on IL with eye procedure,
2017-11-25,Bucks,• John Henson,• John Henson,,activated from IL,3.0
2018-02-06,Bucks,• John Henson,,• John Henson,sore right hamstring (DTD),
2018-02-09,Bucks,• John Henson,• John Henson,,returned to lineup,3.0
2018-02-10,Bucks,• John Henson,,• John Henson,sore right hamstring (DTD),
2018-02-13,Bucks,• John Henson,,• John Henson,placed on IL with sore right hamstring,
2018-02-23,Bucks,• John Henson,• John Henson,,activated from IL,10.0
2018-03-30,Bucks,• John Henson,,• John Henson,right index finger injury (DTD),
2018-03-30,Bucks,• John Henson,,• John Henson,placed on IL with sprained right finger,
2018-04-01,Bucks,• John Henson,• John Henson,,activated from IL,2.0
2018-04-20,Bucks,• John Henson,,• John Henson,placed on IL with sore back (out for season),
2018-11-15,Bucks,• John Henson,,• John Henson,left wrist injury (DTD),
2018-11-16,Bucks,• John Henson,,• John Henson,placed on IL recovering from surgery on left wrist (out for season),
2019-10-23,Cavaliers,• John Henson,,• John Henson,placed on IL with sprained right ankle,
2019-10-26,Cavaliers,• John Henson,• John Henson,,activated from IL,3.0
2019-10-27,Cavaliers,• John Henson,,• John Henson,strained right hamstring (out indefinitely),
2019-10-28,Cavaliers,• John Henson,,• John Henson,placed on IL with strained right hamstring,
2019-12-03,Cavaliers,• John Henson,• John Henson,,activated from IL,36.0
2020-01-18,Cavaliers,• John Henson,,• John Henson,placed on IL with sore lower back,
2020-01-23,Cavaliers,• John Henson,• John Henson,,activated from IL,5.0
2020-03-11,Pistons,• John Henson,,• John Henson,placed on IL with sprained left ankle (out for season),
2021-04-07,Knicks,• John Henson,,• John Henson,strained right calf (DTD),
2021-04-15,Knicks,• John Henson,• John Henson,,returned to lineup,8.0
2016-04-16,Celtics,• John Holland,,• John Holland,placed on IL,
2016-04-19,Celtics,• John Holland,• John Holland,,activated from IL,3.0
2016-04-24,Celtics,• John Holland,,• John Holland,placed on IL (out for season),
2017-10-17,Cavaliers,• John Holland,,• John Holland,placed on IL,
2017-11-22,Cavaliers,• John Holland,• John Holland,,activated from IL,36.0
2017-12-04,Cavaliers,• John Holland,,• John Holland,placed on IL,
2017-12-15,Cavaliers,• John Holland,,• John Holland,left shoulder subluxation (out) indefinitely,
2018-02-09,Cavaliers,• John Holland,• John Holland,,activated from IL,56.0
2015-11-03,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2015-11-05,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,2.0
2015-11-10,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2015-11-11,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,1.0
2015-11-13,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2015-11-14,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,1.0
2015-11-16,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2015-11-18,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,2.0
2015-11-20,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2015-11-22,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,2.0
2015-11-24,Mavericks,• John Jenkins,• John Jenkins,,activated from IL (P),
2015-12-16,Mavericks,• John Jenkins,,• John Jenkins,placed on IL with concussion,
2015-12-18,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,2.0
2016-01-08,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2016-01-13,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,5.0
2016-01-17,Mavericks,• John Jenkins,• John Jenkins,,activated from IL (P),
2016-01-18,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2016-01-20,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,2.0
2016-01-22,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2016-01-24,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,2.0
2016-01-29,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2016-01-31,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,2.0
2016-02-05,Mavericks,• John Jenkins,,• John Jenkins,placed on IL,
2016-02-06,Mavericks,• John Jenkins,• John Jenkins,,activated from IL,1.0
2016-02-09,Mavericks,• John Jenkins,• John Jenkins,,activated from IL (P),
2016-02-19,Mavericks,• John Jenkins,• John Jenkins,,activated from IL (P),
2016-02-19,Mavericks,• John Jenkins,,• John Jenkins,undisclosed (DTD) (CBC),
2016-02-21,Mavericks,• John Jenkins,• John Jenkins,,returned to lineup,2.0
2016-10-12,Suns,• John Jenkins,,• John Jenkins,strained abdominal (DTD),
2016-10-26,Suns,• John Jenkins,,• John Jenkins,placed on IL with strained abdominal (DTD),
2016-10-31,Suns,• John Jenkins,• John Jenkins,,activated from IL,5.0
2016-11-02,Suns,• John Jenkins,,• John Jenkins,placed on IL,
2016-11-08,Suns,• John Jenkins,• John Jenkins,,activated from IL,6.0
2016-11-16,Suns,• John Jenkins,,• John Jenkins,placed on IL,
2016-11-18,Suns,• John Jenkins,• John Jenkins,,activated from IL,2.0
2016-12-17,Suns,• John Jenkins,,• John Jenkins,placed on IL,
2021-01-04,Grizzlies,• John Konchar,,• John Konchar,sprained left ankle (DTD),
2021-01-13,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,9.0
2021-12-28,Grizzlies,• John Konchar,,• John Konchar,placed on IL with NBA health and safety protocols,
2022-01-09,Grizzlies,• John Konchar,• John Konchar,,activated from IL,12.0
2022-02-28,Grizzlies,• John Konchar,,• John Konchar,placed on IL with sprained left ankle,
2022-03-03,Grizzlies,• John Konchar,• John Konchar,,activated from IL,3.0
2022-10-27,Grizzlies,• John Konchar,,• John Konchar,placed on IL with shoulder injury,
2022-10-29,Grizzlies,• John Konchar,• John Konchar,,activated from IL,2.0
2022-12-05,Grizzlies,• John Konchar,,• John Konchar,toe injury (DTD),
2022-12-07,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,2.0
2023-01-14,Grizzlies,• John Konchar,,• John Konchar,placed on IL with illness,
2023-01-18,Grizzlies,• John Konchar,• John Konchar,,activated from IL,4.0
2023-01-24,Grizzlies,• John Konchar,,• John Konchar,placed on IL with concussion protocols,
2023-02-02,Grizzlies,• John Konchar,• John Konchar,,activated from IL,9.0
2023-03-29,Grizzlies,• John Konchar,,• John Konchar,left hip injury (DTD),
2023-03-31,Grizzlies,• John Konchar,,• John Konchar,placed on IL with left hip injury,
2023-04-02,Grizzlies,• John Konchar,• John Konchar,,activated from IL,2.0
2023-11-04,Grizzlies,• John Konchar,,• John Konchar,placed on IL with left hip injury,
2023-11-10,Grizzlies,• John Konchar,• John Konchar,,activated from IL,6.0
2023-12-26,Grizzlies,• John Konchar,,• John Konchar,illness (DTD),
2023-12-28,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,2.0
2023-12-29,Grizzlies,• John Konchar,,• John Konchar,illness (DTD),
2023-12-31,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,2.0
2024-01-29,Grizzlies,• John Konchar,,• John Konchar,placed on IL with sprained left ankle,
2024-02-01,Grizzlies,• John Konchar,• John Konchar,,activated from IL,3.0
2024-02-04,Grizzlies,• John Konchar,,• John Konchar,bruised right calf (DTD),
2024-02-06,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,2.0
2024-02-15,Grizzlies,• John Konchar,,• John Konchar,placed on IL with bruised left quadriceps,
2024-02-22,Grizzlies,• John Konchar,• John Konchar,,activated from IL,7.0
2024-02-25,Grizzlies,• John Konchar,,• John Konchar,sprained left thumb (DTD),
2024-03-02,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,6.0
2024-03-10,Grizzlies,• John Konchar,,• John Konchar,sore right ankle (DTD),
2024-03-12,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,2.0
2024-03-25,Grizzlies,• John Konchar,,• John Konchar,placed on IL with sore right heel (out for season),
2024-10-26,Grizzlies,• John Konchar,,• John Konchar,placed on IL with sore right foot,
2024-10-30,Grizzlies,• John Konchar,• John Konchar,,activated from IL,4.0
2024-10-31,Grizzlies,• John Konchar,,• John Konchar,bruised right quadriceps (DTD),
2024-11-06,Grizzlies,• John Konchar,,• John Konchar,placed on IL with bruised right quadriceps,
2024-11-08,Grizzlies,• John Konchar,• John Konchar,,activated from IL,2.0
2024-11-20,Grizzlies,• John Konchar,,• John Konchar,placed on IL with illness,
2024-11-22,Grizzlies,• John Konchar,• John Konchar,,activated from IL,2.0
2025-01-04,Grizzlies,• John Konchar,,• John Konchar,sore left shoulder (DTD),
2025-01-05,Grizzlies,• John Konchar,• John Konchar,,returned to lineup,1.0
2025-04-01,Grizzlies,• John Konchar,,• John Konchar,placed on IL with illness,
2025-04-02,Grizzlies,• John Konchar,• John Konchar,,activated from IL,1.0
2016-10-26,Timberwolves,• John Lucas III,,• John Lucas III,placed on IL,
2016-11-01,Timberwolves,• John Lucas III,• John Lucas III,,activated from IL,6.0
2016-11-30,Timberwolves,• John Lucas III,• John Lucas III,,activated from IL,
2016-12-06,Timberwolves,• John Lucas III,,• John Lucas III,placed on IL,
2016-12-09,Timberwolves,• John Lucas III,• John Lucas III,,activated from IL,3.0
2016-12-13,Timberwolves,• John Lucas III,,• John Lucas III,placed on IL,
2017-01-06,Timberwolves,• John Lucas III,• John Lucas III,,activated from IL,24.0
2016-04-06,Wizards,• John Wall ,,• John Wall ,placed on IL with sore/swollen right knee (out for season),
2016-05-05,Wizards,• John Wall ,,• John Wall ,surgery on left knee to remove calcium deposits (out indefinitely),
2016-11-05,Wizards,• John Wall ,,• John Wall ,placed on IL for rest,
2016-11-07,Wizards,• John Wall ,• John Wall ,,activated from IL,2.0
2016-11-12,Wizards,• John Wall ,,• John Wall ,placed on IL for rest,
2016-11-16,Wizards,• John Wall ,• John Wall ,,activated from IL,4.0
2017-04-10,Wizards,• John Wall ,,• John Wall ,rest / quadriceps injury (DTD),
2017-04-12,Wizards,• John Wall ,• John Wall ,,activated from IL,2.0
2017-04-12,Wizards,• John Wall ,,• John Wall ,rest (DTD),
2017-04-16,Wizards,• John Wall ,• John Wall ,,returned to lineup,4.0
2017-11-05,Wizards,• John Wall ,,• John Wall ,placed on IL with sprained left shoulder,
2017-11-07,Wizards,• John Wall ,• John Wall ,,activated from IL,2.0
2017-11-19,Wizards,• John Wall ,,• John Wall ,sore left knee / left knee inflammation (DTD),
2017-11-20,Wizards,• John Wall ,• John Wall ,,returned to lineup,1.0
2017-11-25,Wizards,• John Wall ,,• John Wall ,placed on IL with sore left knee / left knee inflammation,
2017-12-13,Wizards,• John Wall ,• John Wall ,,activated from IL,18.0
2018-01-27,Wizards,• John Wall ,,• John Wall ,placed on IL with sore left knee,
2018-01-31,Wizards,• John Wall ,,• John Wall ,arthroscopic surgery on left knee (out indefinitely),
2018-03-31,Wizards,• John Wall ,• John Wall ,,activated from IL,59.0
2018-04-01,Wizards,• John Wall ,,• John Wall ,rest (DTD),
2018-04-06,Wizards,• John Wall ,,• John Wall ,placed on IL for rest,
2018-04-10,Wizards,• John Wall ,• John Wall ,,activated from IL,4.0
2018-04-11,Wizards,• John Wall ,,• John Wall ,placed on IL for rest,
2018-04-14,Wizards,• John Wall ,• John Wall ,,activated from IL,3.0
2018-12-10,Wizards,• John Wall ,,• John Wall ,sore left heel (DTD),
2018-12-12,Wizards,• John Wall ,• John Wall ,,returned to lineup,2.0
2018-12-22,Wizards,• John Wall ,,• John Wall ,illness (DTD),
2018-12-23,Wizards,• John Wall ,• John Wall ,,returned to lineup,1.0
2018-12-28,Wizards,• John Wall ,,• John Wall ,placed on IL with torn left Achilles tendon (out for season),
2018-12-29,Wizards,• John Wall ,,• John Wall ,surgery to repair torn left Achilles tendon (out for season),
2019-01-08,Wizards,• John Wall ,,• John Wall ,surgery to repair torn left Achilles tendon (out for season),
2019-10-01,Wizards,• John Wall ,,• John Wall ,placed on IL recovering from torn left Achilles tendon (out for season),
2020-12-25,Rockets,• John Wall ,,• John Wall ,COVID-19 protocols,
2020-12-30,Rockets,• John Wall ,• John Wall ,,returned to lineup,5.0
2021-01-13,Rockets,• John Wall ,,• John Wall ,sore left knee (DTD),
2021-01-18,Rockets,• John Wall ,,• John Wall ,placed on IL with sore left knee,
2021-01-23,Rockets,• John Wall ,• John Wall ,,activated from IL,5.0
2021-02-02,Rockets,• John Wall ,,• John Wall ,placed on IL with left Achilles injury,
2021-02-04,Rockets,• John Wall ,• John Wall ,,activated from IL,2.0
2021-02-08,Rockets,• John Wall ,,• John Wall ,left Achilles injury (DTD),
2021-02-09,Rockets,• John Wall ,• John Wall ,,returned to lineup,1.0
2021-03-11,Rockets,• John Wall ,,• John Wall ,placed on IL with bruised left knee,
2021-03-16,Rockets,• John Wall ,• John Wall ,,activated from IL,5.0
2021-03-19,Rockets,• John Wall ,• John Wall ,,returned to lineup,
2021-03-31,Rockets,• John Wall ,,• John Wall ,placed on IL with left knee injury,
2021-04-04,Rockets,• John Wall ,• John Wall ,,activated from IL,4.0
2021-04-04,Rockets,• John Wall ,,• John Wall ,left knee injury (DTD),
2021-04-07,Rockets,• John Wall ,• John Wall ,,returned to lineup,3.0
2021-04-08,Rockets,• John Wall ,,• John Wall ,placed on IL with left Achilles injury,
2021-04-10,Rockets,• John Wall ,• John Wall ,,activated from IL,2.0
2021-04-17,Rockets,• John Wall ,,• John Wall ,left Achilles injury (DTD),
2021-04-19,Rockets,• John Wall ,• John Wall ,,returned to lineup,2.0
2021-04-24,Rockets,• John Wall ,,• John Wall ,left Achilles injury (DTD),
2021-04-26,Rockets,• John Wall ,,• John Wall ,placed on IL with strained right hamstring (out for season),
2022-10-22,Clippers,• John Wall ,,• John Wall ,placed on IL,
2022-10-23,Clippers,• John Wall ,• John Wall ,,activated from IL,1.0
2022-10-31,Clippers,• John Wall ,,• John Wall ,placed on IL,
2022-11-02,Clippers,• John Wall ,• John Wall ,,activated from IL,2.0
2022-11-07,Clippers,• John Wall ,,• John Wall ,placed on IL,
2022-11-09,Clippers,• John Wall ,• John Wall ,,activated from IL,2.0
2022-11-14,Clippers,• John Wall ,,• John Wall ,left knee injury (DTD),
2022-11-15,Clippers,• John Wall ,• John Wall ,,returned to lineup,1.0
2022-11-29,Clippers,• John Wall ,,• John Wall ,placed on IL with left knee injury,
2022-11-30,Clippers,• John Wall ,• John Wall ,,activated from IL,1.0
2022-12-07,Clippers,• John Wall ,,• John Wall ,placed on IL with left knee injury,
2022-12-07,Clippers,• John Wall ,• John Wall ,,activated from IL,0.0
2022-12-14,Clippers,• John Wall ,,• John Wall ,placed on IL with left knee injury,
2022-12-15,Clippers,• John Wall ,• John Wall ,,activated from IL,1.0
2022-12-23,Clippers,• John Wall ,,• John Wall ,placed on IL,
2022-12-26,Clippers,• John Wall ,• John Wall ,,activated from IL,3.0
2022-12-27,Clippers,• John Wall ,,• John Wall ,placed on IL with left knee injury,
2022-12-29,Clippers,• John Wall ,• John Wall ,,activated from IL,2.0
2023-01-15,Clippers,• John Wall ,,• John Wall ,sore abdominal (DTD),
2017-10-18,Mavericks,• Johnathan Motley,,• Johnathan Motley,placed on IL,
2017-12-08,Mavericks,• Johnathan Motley,• Johnathan Motley,,activated from IL,51.0
2017-12-20,Mavericks,• Johnathan Motley,,• Johnathan Motley,placed on IL,
2018-01-24,Mavericks,• Johnathan Motley,• Johnathan Motley,,activated from IL,35.0
2018-01-29,Mavericks,• Johnathan Motley,,• Johnathan Motley,placed on IL,
